23777,CAMPERA    B   OUTSIDE VADEO ULTREX TRI.,,1555,3695,1,090302039L...,9999,9999
23778,CAMPERA    B   OUTSIDE VADEO ULTREX TRI.,,1555,3695,1,090302039XL..,9999,9999
23779,CAMPERA    B   OUTSIDE VADEO ULTREX TRI.,,1555,3695,1,090302039XXL.,9999,9999
23780,BOLSA DE AGUA  PLATYPUS 2 LTS.,,152.4,374,1,0463020502LT.,9999,9999
23781,SALVAVIDAS     A-F 2023 PRO-KAYAK T.2.,,251.04,595,1,695317476T.2.,9999,9999
23782,SALVAVIDAS     A-F 2024 PRO-KAYAK T.4.,,270.05,650,1,695317476T.4.,9999,9999
23783,SALVAVIDAS     A-F 2025 PRO-KAYAK T.6.,,283.94,695,1,695317476T.6.,9999,9999
23784,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,6963017417.0.,9999,9999
23785,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,6963017418.0.,9999,9999
23786,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,6963017419.0.,9999,9999
23787,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,69630174110,9999,9999
23788,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,69630174111,9999,9999
23789,SANDALIAS      TIMBERL TRAILWIND 2.0,,566.7,1190,1,69630174112,9999,9999
23790,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,0603017478.5.,9999,9999
23791,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,0603017479.0.,9999,9999
23792,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,0603017479.5.,9999,9999
23793,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,6030174710,9999,9999
23794,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,6030174711,9999,9999
23795,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,6030174711,9999,9999
23796,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,6030174712,9999,9999
23797,BOTA HIKING B  TIMBERL OSSIPEE 2.0 GTX,,949.33,1995,1,6030174712,9999,9999
23798,LINTERNA       DOITE PLUTON FRONTAL 4662,,151.89,340,1,4.08E+12,9999,9999
23799,SOMBRILLA      WATER DLX 2008,,297,650,1,7173120052,9999,9999
23800,LINTERNA       DOITE FOCUS PLUS M.4693,,330.15,730,1,4.08E+12,9999,9999
23801,BOTE           SEVY KAYAK K5 QUIKPAK,,4313.06,10100,1,062305743S153,9999,9999
23802,CAÑA           MITCHELL PREMIUM II TELE,,180,430,1,962204612.1,9999,9999
23803,REEL           PENN SARGUS SG2000,,877.78,2120,1,664312456P999,9999,9999
23804,REEL           MITCHELL AV.SILVER 3 1000,,438.02,1070,1,6.64E+12,9999,9999
23805,REEL           MITCHELL AV.SILVER 3 4000,,486.26,1180,1,6.64E+12,9999,9999
23806,REEL           MITCHELL AV.SILVER 3 6000,,452.22,1100,1,6.64E+12,9999,9999
23807,REEL           MITCHELL BRONZE 3 2000,,227.7,550,1,6.64E+12,9999,9999
23808,REEL           MITCHELL BRONZE 3 4000,,293.02,720,1,6.64E+12,9999,9999
23809,REEL           MITCHELL BRONZE 3 1000,,207.2,495,1,6.64E+12,9999,9999
23810,REEL           MITCHELL AV.GOLD 3 2000,,645.28,1560,1,6.64E+12,9999,9999
23811,REEL           PFLUEGER CRITERION BAIT,,592.5,1420,1,664320420R281,9999,9999
23812,REEL           PENN FIERCE 4000 SPIN,,769.67,1860,1,664312457P182,9999,9999
23813,SALVAVIDAS     PRO FISH PESCADOR 2123,,189.54,460,1,695225501T.3.,9999,9999
23814,SALVAVIDAS     A-F 2026 PRO KAYAK T.8.,,301.75,740,1,695317476T.8.,9999,9999
23815,SALVAVIDAS     A-F 2027 PRO KAYAK T.10,,309.89,750,1,695317476T.10,9999,9999
23816,SALVAVIDAS     A-F 2028 PRO KAYAK T.12,,323.63,760,1,695317476T.12,9999,9999
23817,BOLSO          A-F ESTANCO MARINE 46X80,,184.56,430,1,4.63E+11,9999,9999
23818,VOUCHERS ASHIWEA,,0,100,1,2,9999,9999
23819,CALZA          THERMOS.DRYSKIN WS0796,,33,80,1,076822201BXS.,9999,9999
23820,CALZA          THERMOS.DRYSKIN WS0796M,,33,80,1,082322205BXS.,9999,9999
23821,ANTEOJOS       RUSTY KELLY,,300,750,1,012704070KELL,9999,9999
23822,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,0603017487.5.,9999,9999
23823,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,0603017488.0.,9999,9999
23824,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,0603017488.5.,9999,9999
23825,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,0603017489.0.,9999,9999
23826,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,0603017489.5.,9999,9999
23827,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,6030174810,9999,9999
23828,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,6030174811,9999,9999
23829,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,6030174811,9999,9999
23830,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,6030174812,9999,9999
23831,BOTA HIKING B  TIMBERL SUMMITSCAPE GTX,,853.33,1795,1,6030174812,9999,9999
23832,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017085.0.,9999,9999
23833,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017085.5.,9999,9999
23834,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017086.0.,9999,9999
23835,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017086.5.,9999,9999
23836,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017087.0.,9999,9999
23837,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017087.5.,9999,9999
23838,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017088.0.,9999,9999
23839,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017088.5.,9999,9999
23840,BOTA HIKING A  TIMBERL CARRIGAN NOTCH WP,,773.34,1630,1,0603017089.0.,9999,9999
23841,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017095.0.,9999,9999
23842,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017095.5.,9999,9999
23843,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017096.0.,9999,9999
23844,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017096.5.,9999,9999
23845,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017097.0.,9999,9999
23846,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017097.5.,9999,9999
23847,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017098.0.,9999,9999
23848,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017098.5.,9999,9999
23849,BOTA HIKING A  TIMBERL GANNON GTX,,954.67,1995,1,0603017099.0.,9999,9999
23850,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017106.5.,9999,9999
23851,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017107.0.,9999,9999
23852,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017107.5.,9999,9999
23853,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017108.0.,9999,9999
23854,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017108.5.,9999,9999
23855,BOTA HIKING A  TIMBERL CANARD RESORT,,1061.33,2195,1,0603017109.0.,9999,9999
23856,ANTEOJOS       RUSTY CAKE,,300,750,1,012304016CAKE,9999,9999
23857,BOLSO PESCA    KUNNAN KFLY0103,,841.63,1850,1,4.63E+11,9999,9999
23858,BOLSO PESCA    KUNNAN KFLY 0113,,617.07,1360,1,4.63E+11,9999,9999
23859,BOLSO PESCA    KUNNAN KFLY 0114,,456.28,995,1,4.63E+11,9999,9999
23860,BOLSO PESCA    KUNNAN KFLY 0104,,715.99,1580,1,4.63E+11,9999,9999
23861,RED COPO       KUNNAN LNK 123,,301,660,1,658312253L123,9999,9999
23862,ACC.PESCA      ESMERILLON C/RULE.ESMR2,,323.61,720,1,008312024ESM2,9999,9999
23863,ACC.PESCA      ESMERILLON C/RULE.ESMR3,,353.22,780,1,008312024ESM3,9999,9999
23864,ACC.PESCA      ESMERILLON C/RULE.ESMR4,,383.36,850,1,008312024ESM4,9999,9999
23865,GORROS     V   NATWAY 154,,44.28,95,1,2.12E+11,9999,9999
23866,PIN            KUNNAN PIN 002 K,,49,110,1,597312202002K,9999,9999
23867,REEL           KUNNAN HART 2007,,423,930,1,6.64E+12,9999,9999
23868,CUCHARAS       WATER FZET SPOON FZ30,,22.41,50,1,156312052FZ30,9999,9999
23869,CUCHARAS       WATER TOBIX SPOON TSS12,,232.23,495,1,15631205312GR,9999,9999
23870,CUCHARAS       WATER TOBIX SPOON TSS18,,240.25,530,1,15631205318GR,9999,9999
23871,CUCHARAS       WATER TOBIX SPOON TSS28,,12.33,25,1,15631205328GR,9999,9999
23872,CUCHARAS       WATE SAUSAGE SLICE SS20,,40.37,90,1,156312054SS20,9999,9999
23873,CUCHARAS       WATE SAUSAGE SLICE SS25,,37.79,85,1,156312054SS25,9999,9999
23874,CUCHARAS       WATE SAUSAGE SLICE SS30,,49.13,120,1,156312054SS30,9999,9999
23875,CUCHARAS       WATE SPIDER VS2-PG,,23.73,50,1,156312056VS2.,9999,9999
23876,CUCHARAS       WATE SAUSAGE SLICE LONG,,29.91,65,1,156312055SL20,9999,9999
23877,SEÑUELOS       STORM WLRT03,,6.37,16,1,69822077812GR,9999,9999
23878,REEL           GREY GULL SERIE D 4/6,,35.26,85,1,6643212874-6.,9999,9999
