ID,NOMBRE,DESCRIPCION,COSTO,PRECIO,FK_MON,CODIGO,FK_PROV,FK_MARCA
13304,SKI.R          R.RADICAL 8X + AXL 2 120,,492,1300,3,7007130432,9999,9999
13305,SKI.R          R.RADICAL 8X + AXL 2 120,,492,1300,3,7007130432,9999,9999
13306,BUFANDA        POLAR LOLI,,37.5,83,1,023708202LOLI,9999,9999
13307,BUFANDA        JR POLAR LOLI,,37.5,75,1,023708203LOLI,9999,9999
13308,BOLSO SKI      SALO 2 PARES 1.90,,134.09,325,1,047712522SALO,9999,9999
13309,BOLSO          SALO WEEKEND BAG 80,,204.55,495,1,04671258080LT,9999,9999
13310,MOCHILA        SALO BLAST,,105,281,1,46071251010LT,9999,9999
13311,CAMPERA    A   DUKE YOKO 83620,,677.25,0,1,085717307BXS.,9999,9999
13312,CAMPERA    A   DUKE YOKO 83620,,677.25,0,1,085717307CXS.,9999,9999
13313,CAMPERA    A   DUKE YOKO 83620,,677.25,0,1,085717307M...,9999,9999
13314,CAMPERA    A   DUKE YOKO 83620,,677.25,0,1,085717307L...,9999,9999
13315,REMERA         OAKLEY M/C WASHED CAMO,,131.82,290,1,666702805CXS.,9999,9999
13316,REMERA         OAKLEY M/C WASHED CAMO,,131.82,290,1,666702805M...,9999,9999
13317,REMERA         OAKLEY M/C WASHED CAMO,,131.82,290,1,666702805L...,9999,9999
13318,REMERA         OAKLEY M/C WASHED CAMO,,131.82,290,1,666702805XL..,9999,9999
13319,REMERA     L   OAKLEY M/L ESTAMP.3411/12,,111.36,245,1,666702810CXS.,9999,9999
13320,REMERA     L   OAKLEY M/L ESTAMP.3411/12,,111.36,245,1,666702810M...,9999,9999
13321,REMERA     L   OAKLEY M/L ESTAMP.3411/12,,111.36,245,1,666702810L...,9999,9999
13322,REMERA     L   OAKLEY M/L ESTAMP.3411/12,,111.36,245,1,666702810XL..,9999,9999
13323,REMERA     L   OAKLEY GAS CHAMBER 3410,,111.36,245,1,666702812CXS.,9999,9999
13324,REMERA     L   OAKLEY GAS CHAMBER 3410,,111.36,245,1,666702812M...,9999,9999
13325,REMERA     L   OAKLEY GAS CHAMBER 3410,,111.36,245,1,666702812L...,9999,9999
13326,REMERA     L   OAKLEY GAS CHAMBER 3410,,111.36,245,1,666702812XL..,9999,9999
13327,BUZOS CAMPERA  B OAKLEY EXCALIBUR C/CAP.,,359.09,790,1,071702818CXS.,9999,9999
13328,BUZOS CAMPERA  B OAKLEY EXCALIBUR C/CAP.,,359.09,790,1,071702818M...,9999,9999
13329,BUZOS CAMPERA  B OAKLEY EXCALIBUR C/CAP.,,359.09,790,1,071702818L...,9999,9999
13330,BUZOS CAMPERA  B OAKLEY EXCALIBUR C/CAP.,,359.09,790,1,071702818XL..,9999,9999
13331,BUZOS CAMPERA  B OAKLEY PLASTIC GRADIENT,,359.09,790,1,071702819CXS.,9999,9999
13332,BUZOS CAMPERA  B OAKLEY PLASTIC GRADIENT,,359.09,790,1,071702819M...,9999,9999
13333,BUZOS CAMPERA  B OAKLEY PLASTIC GRADIENT,,359.09,790,1,071702819L...,9999,9999
13334,BUZOS CAMPERA  B OAKLEY PLASTIC GRADIENT,,359.09,790,1,071702819XL..,9999,9999
13335,ACC.SKI        SUELA ICE GRIP,,154.21,340,1,008702610CXS.,9999,9999
13336,ACC.SKI        SUELA ICE GRIP,,154.21,340,1,008702610M...,9999,9999
13337,ACC.SKI        SUELA ICE GRIP,,154.21,340,1,008702610L...,9999,9999
13338,ACC.SKI        SUELA ICE GRIP,,154.21,340,1,008702610XL..,9999,9999
13339,ACC.SKI        SUELA ICE GRIP,,154.21,340,1,008702610XXL.,9999,9999
13340,RAQUETA DE NIEVE C.D. PLASTICO,,747.37,1650,1,654702605C.D.,9999,9999
13341,PALA           C.D. NIEVE 80536,,92.63,195,1,579702605C.D.,9999,9999
13342,PALA           C.D. NIEVE TELESCOPICA,,291.58,640,1,579702610C.D.,9999,9999
13343,ACC.SKI        KIT RUEDAS NIEVE S/CADENA,,179.55,395,1,008702611C.D.,9999,9999
13344,CAMPERA    B   OAKLEY CHAMBER,,904.55,1990,1,085702822CXS.,9999,9999
13345,CAMPERA    B   OAKLEY CHAMBER,,904.55,1990,1,085702822M...,9999,9999
13346,CAMPERA    B   OAKLEY CHAMBER,,904.55,1990,1,085702822L...,9999,9999
13347,CAMPERA    B   OAKLEY CHAMBER,,904.55,1990,1,085702822XL..,9999,9999
13348,CAMPERA    B   OAKLEY CHAMBER,,904.55,1990,1,085702822XXL.,9999,9999
13349,CAMPERA    B   OAKLEY THE BASE,,677.27,1490,1,085702824CXS.,9999,9999
13350,CAMPERA    B   OAKLEY THE BASE,,677.27,1490,1,085702824M...,9999,9999
13351,CAMPERA    B   OAKLEY THE BASE,,677.27,1490,1,085702824L...,9999,9999
13352,CAMPERA    B   OAKLEY THE BASE,,677.27,1490,1,085702824XL..,9999,9999
13353,CAMPERA    B   OAKLEY THE BASE,,677.27,1490,1,085702824XXL.,9999,9999
13354,CAMPERA    B   OAKLEY VAPOR,,677.27,1490,1,085702826CXS.,9999,9999
13355,CAMPERA    B   OAKLEY VAPOR,,677.27,1490,1,085702826M...,9999,9999
13356,CAMPERA    B   OAKLEY VAPOR,,677.27,1490,1,085702826L...,9999,9999
13357,CAMPERA    B   OAKLEY VAPOR,,677.27,1490,1,085702826XL..,9999,9999
13358,CAMPERA    B   OAKLEY VAPOR,,677.27,1490,1,085702826XXL.,9999,9999
13359,CAMISETA   A   POWDER DRY KEEPER LADY,,160,395,1,079714502BXS.,9999,9999
13360,CAMISETA   A   POWDER DRY KEEPER LADY,,160,395,1,079714502CXS.,9999,9999
13361,CAMISETA   A   POWDER DRY KEEPER LADY,,160,395,1,079714502M...,9999,9999
13362,CAMISETA   A   POWDER DRY KEEPER LADY,,160,395,1,079714502L...,9999,9999
13363,PPANTALON  TB  ANSILTA SNOW PRO,,697.5,1535,1,580707839CXS.,9999,9999
13364,PPANTALON  TB  ANSILTA SNOW PRO,,697.5,1535,1,580707839M...,9999,9999
13365,PPANTALON  TB  ANSILTA SNOW PRO,,697.5,1535,1,580707839L...,9999,9999
13366,PPANTALON  TB  ANSILTA SNOW PRO,,697.5,1535,1,580707839XL..,9999,9999
13367,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.2.,9999,9999
13368,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.4.,9999,9999
13369,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.6.,9999,9999
13370,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.8.,9999,9999
13371,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.10,9999,9999
13372,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.12,9999,9999
13373,PPANTALON  TJ  CROSS JR,,347.5,695,1,580718962T.14,9999,9999
13374,PPJARDINERO TJ CROSS JUNIORS,,347.5,695,1,580718961T.10,9999,9999
13375,PPJARDINERO TJ CROSS JUNIORS,,347.5,695,1,580718961T.12,9999,9999
13376,CAMPERA    B   RAFFIKE NEXUS,,875,2100,1,085706034CXS.,9999,9999
13377,CAMPERA    B   RAFFIKE NEXUS,,875,2100,1,085706034M...,9999,9999
13378,CAMPERA    B   RAFFIKE NEXUS,,875,2100,1,085706034L...,9999,9999
13379,CAMPERA    B   RAFFIKE NEXUS,,875,2100,1,085706034XL..,9999,9999
13380,CAMPERA    B   RAFFIKE NEXUS,,875,2100,1,085706034XXL.,9999,9999
13381,PPANTALON  TB  RAFFIKE SNOWBOARD,,575,1265,1,580706026CXS.,9999,9999
13382,PPANTALON  TB  RAFFIKE SNOWBOARD,,575,1265,1,580706026M...,9999,9999
13383,PPANTALON  TB  RAFFIKE SNOWBOARD,,575,1265,1,580706026L...,9999,9999
13384,PPANTALON  TB  RAFFIKE SNOWBOARD,,575,1265,1,580706026XL..,9999,9999
13385,PPANTALON  TB  RAFFIKE SNOWBOARD,,575,1265,1,580706026XXL.,9999,9999
13386,PPANTALON  TB  RAFFIKE 427 USHUAIA,,675,1485,1,580706025CXS.,9999,9999
13387,PPANTALON  TB  RAFFIKE 427 USHUAIA,,675,1485,1,580706025M...,9999,9999
13388,PPANTALON  TB  RAFFIKE 427 USHUAIA,,675,1485,1,580706025L...,9999,9999
13389,PPANTALON  TB  RAFFIKE 427 USHUAIA,,675,1485,1,580706025XL..,9999,9999
13390,PPANTALON  TB  RAFFIKE 427 USHUAIA,,675,1485,1,580706025XXL.,9999,9999
13391,PPANTALON  TA  RAFFIKE 428 SOFT SHELL,,375,825,1,580706005CXS.,9999,9999
13392,PPANTALON  TA  RAFFIKE 428 SOFT SHELL,,375,825,1,580706005M...,9999,9999
13393,PPANTALON  TA  RAFFIKE 428 SOFT SHELL,,375,825,1,580706005L...,9999,9999
13394,PPANTALON  TA  RAFFIKE 428 SOFT SHELL,,375,825,1,580706005XL..,9999,9999
13395,PPANTALON  TA  RAFFIKE 428 SOFT SHELL,,375,825,1,580706005BXS.,9999,9999
13396,ACCESORIOS     OCELOT CANDADO C/COMBINAC,,65.91,145,1,008708103OCEL,9999,9999
13397,CORTAPLUMAS    OCELOT MULTIFUNCION,,38.64,85,1,105708101OCEL,9999,9999
13398,RELOJ          EOLIK GLOBAL NAV,,200,400,2,660721706EOLI,9999,9999
13399,CAMPERA        AB CROSS RAIN,,225,450,1,085718927CXS.,9999,9999
13400,ANTEOJOS       NIKE UV 400,,147.5,325,1,012708201NIKE,9999,9999
13401,CAMPERA    A   ANSILTA OLIMPO LADY GTX,,650,2900,1,085707812BXS.,9999,9999
13402,CAMPERA    A   ANSILTA OLIMPO LADY GTX,,650,2900,1,085707812CXS.,9999,9999
13403,CAMPERA    A   ANSILTA OLIMPO LADY GTX,,650,2900,1,085707812M...,9999,9999
13404,CAMPERA    A   ANSILTA OLIMPO LADY GTX,,650,2900,1,085707812L...,9999,9999
13405,CAMPERA    A   ANSILTA OLIMPO LADY GTX,,650,2145,1,085707812XL..,9999,9999
13406,CAMPERA    A   ANSILTA GHOST LADY 133201,,847.5,1865,1,085707813BXS.,9999,9999
13407,CAMPERA    A   ANSILTA GHOST LADY 133201,,847.5,1865,1,085707813CXS.,9999,9999
13408,CAMPERA    A   ANSILTA GHOST LADY 133201,,847.5,1865,1,085707813M...,9999,9999
13409,CAMPERA    A   ANSILTA GHOST LADY 133201,,847.5,1865,1,085707813L...,9999,9999
13410,CAMPERA    A   ANSILTA GHOST LADY 133201,,847.5,1865,1,085707813XL..,9999,9999
